Date,Open,High,Low,Close,Adj Close,Volume
21-12-2021,159.5,167.274994,158.369995,165.660004,165.660004,6293500
22-12-2021,165.679993,170.679993,162.800003,169.289993,169.289993,4802500
23-12-2021,170.5,171.990005,166.889999,171.309998,171.309998,4017400
27-12-2021,169.806,172.429993,168.779999,171.679993,171.679993,2725200
28-12-2021,171.320007,172.729996,167.729996,169.710007,169.710007,2292600
29-12-2021,169.520004,170.479996,165.020004,167.440002,167.440002,1995400
30-12-2021,167.059998,170.850006,165.710007,168.779999,168.779999,2181100
31-12-2021,168.779999,170.869995,166.080002,166.490005,166.490005,2596000
03-01-2022,165.296997,172.839996,165.220001,172.679993,172.679993,4224900
04-01-2022,174.154007,175.899994,167.199997,170.800003,170.800003,4080000
05-01-2022,169.882996,175.106995,162.240005,162.25,162.25,4804600
06-01-2022,160.289993,163.729996,156.339996,159.75,159.75,5049600
07-01-2022,159.179993,166.880005,158.455002,166.050003,166.050003,5624600
10-01-2022,159.759995,161.699997,152.100006,160.710007,160.710007,6973600
11-01-2022,160.710007,169.389999,159.078003,168.610001,168.610001,5331600
12-01-2022,170.240005,171.039993,165.110001,169.539993,169.539993,3534300
13-01-2022,170.233002,171.990005,165.764999,166,166,4893800
14-01-2022,165.75,167.630005,160.240005,163.990005,163.990005,4144000
18-01-2022,156.910004,160.789993,153.869995,154.690002,154.690002,5775400
19-01-2022,157,160.229996,154.440002,154.580002,154.580002,5127400
20-01-2022,157.807999,165.199997,157.350006,158,158,4941900
21-01-2022,156.815002,160.199997,152.410004,156.729996,156.729996,7242300
24-01-2022,150,151.160004,135.759995,147.899994,147.899994,14606600
25-01-2022,143.899994,147.380005,140.130005,144.559998,144.559998,5704900
26-01-2022,149.285004,152.399994,140.041,142.139999,142.139999,6990300
27-01-2022,143.479996,145.548004,137.919998,138.410004,138.410004,4493800
28-01-2022,138.544998,143.110001,134.373993,142.770004,142.770004,5604400
31-01-2022,144.802994,153.970001,143.809998,153.970001,153.970001,5463000
01-02-2022,155.350006,157.389999,152.5,156.940002,156.940002,3799300
02-02-2022,156.313004,156.509995,150.712006,151.759995,151.759995,3678300
03-02-2022,147.970001,152.179993,146.679993,149.570007,149.570007,4577100
04-02-2022,150.139999,157.240005,150,155.559998,155.559998,4687700
07-02-2022,156.789993,160.880005,155.949997,157.910004,157.910004,4690700
08-02-2022,154,163.078995,153.440002,162.259995,162.259995,4309100
09-02-2022,165.369995,170.070007,165.080002,169.529999,169.529999,4868300
10-02-2022,165.244995,177.059998,165.244995,171.949997,171.949997,8261400
11-02-2022,175.309006,176.740005,164.830002,166.529999,166.529999,6464400
14-02-2022,166.630005,171.800003,165.029999,169.660004,169.660004,4847600
15-02-2022,172.919998,180.632004,172.75,180.070007,180.070007,11733900
16-02-2022,178.294998,191.729996,178,186.639999,186.639999,22252900
17-02-2022,184.899994,188.979996,181.539993,183.600006,183.600006,7779200
18-02-2022,180.259995,182.660004,173.619995,174.899994,174.899994,8848800
22-02-2022,172.130005,176.380005,161.320007,165.240005,165.240005,8392600
23-02-2022,165.929993,166.654999,149.850006,150.039993,150.039993,9778500
24-02-2022,141.300003,158.960007,141.179993,158.259995,158.259995,10354600
25-02-2022,159.259995,159.449997,152.910004,155.089996,155.089996,6173200
28-02-2022,155.024994,155.095993,148.300003,151.490005,151.490005,11078500
01-03-2022,150.529999,154.220001,149.949997,151.009995,151.009995,5165800
02-03-2022,152.479996,158.080002,151.889999,157.529999,157.529999,5028300
03-03-2022,158.330002,159.220001,150.990005,151.690002,151.690002,4045800
04-03-2022,150.770004,151.889999,140.460007,142.699997,142.699997,8390800
07-03-2022,145,145.270004,131.520004,131.589996,131.589996,9177300
08-03-2022,131.630005,144.470001,131.5,142.130005,142.130005,9587000
09-03-2022,145.429993,150.990005,145.330002,148.309998,148.309998,7023900
10-03-2022,145.220001,152.889999,144.408997,151.800003,151.800003,5302500
11-03-2022,154.130005,155,145,145.139999,145.139999,4577300
14-03-2022,143.410004,144.669998,136.039993,138.5,138.5,6330200
15-03-2022,140,144.729996,138.320007,143.949997,143.949997,5488700
16-03-2022,148.145004,156.979996,146.309998,155.75,155.75,7105400
17-03-2022,153.789993,157.600006,151.050003,157.550003,157.550003,5031700
18-03-2022,156.070007,167.179993,155.699997,167,167,8467500
21-03-2022,164.570007,165.949997,159,161.800003,161.800003,4584400
22-03-2022,163.610001,168.175003,162,166.440002,166.440002,4099900
23-03-2022,163.639999,166.889999,162.880005,164.160004,164.160004,2814300
24-03-2022,164.809998,171,162.667999,170.830002,170.830002,4223500
25-03-2022,169.940002,170.610001,164.134003,167.220001,167.220001,2952300
28-03-2022,167.220001,168.718994,162.429993,167.649994,167.649994,3829800
29-03-2022,172.110001,178.880005,171.809998,175.520004,175.520004,5452800
30-03-2022,173.130997,176.820007,172.020004,173.630005,173.630005,3707400
31-03-2022,173.539993,176.149994,171.164001,171.759995,171.759995,3232200
01-04-2022,173.059998,177.940002,172.229996,173.070007,173.070007,3644900
04-04-2022,175.020004,177.020004,172.585007,177.020004,177.020004,3495700
05-04-2022,177.190002,179.089996,170.119995,171.210007,171.210007,4065000
06-04-2022,167.050003,168.770004,161.580002,164.660004,164.660004,4287700
07-04-2022,163.190002,167.860001,161.710007,165.910004,165.910004,4146600
08-04-2022,162.520004,164.899994,159.350006,162.559998,162.559998,3448400
11-04-2022,159.839996,163.570007,157.410004,160.25,160.25,3877200
12-04-2022,163.699997,166.110001,157.279999,160.110001,160.110001,4113000
13-04-2022,160.839996,172.960007,160.649994,171.850006,171.850006,7211900
14-04-2022,171.660004,174.639999,170.294998,170.699997,170.699997,5125100
18-04-2022,169.270004,170.119995,164.350006,165.740005,165.740005,3339900
19-04-2022,165.740005,170.820007,165.710007,170.119995,170.119995,2857100
20-04-2022,172.610001,172.610001,164.309998,164.550003,164.550003,3997900
21-04-2022,168.979996,170.929993,156.679993,157.910004,157.910004,4714600
22-04-2022,157.839996,161.669998,154.779999,156.089996,156.089996,3863400
25-04-2022,154.330002,159.789993,152.100006,158.389999,158.389999,3868100
26-04-2022,158.399994,159.199997,152.800003,153.039993,153.039993,4075000
27-04-2022,153.820007,157.300003,150.440002,152.229996,152.229996,4826000
28-04-2022,154.009995,161.255005,153.660004,159.740005,159.740005,4854500
29-04-2022,158.880005,163.240005,153,153.210007,153.210007,4033100
02-05-2022,153.210007,155.130005,147.210999,152.779999,152.779999,5945300
03-05-2022,154.089996,154.490005,141.580002,145,145,16774700
04-05-2022,152.550003,158.740005,145.871994,156.179993,156.179993,20598100
05-05-2022,152.190002,153.880005,140.858002,143.089996,143.089996,11367200
06-05-2022,142.699997,143.110001,133.039993,135.839996,135.839996,9573100
09-05-2022,131.759995,131.884995,118.830002,119.370003,119.370003,14430900
10-05-2022,122.949997,123.459999,113.529999,116.129997,116.129997,13638500
11-05-2022,114.529999,123.769997,112.366997,116.150002,116.150002,13661400
12-05-2022,113.660004,120.489998,111.220001,115.940002,115.940002,9264300
13-05-2022,119.959999,123.290001,118.82,121.449997,121.449997,8595400
16-05-2022,121,121.07,113.25,114.440002,114.440002,7588400
17-05-2022,119.970001,120.18,114.510002,117.5,117.5,6962900
18-05-2022,116.110001,117.040001,107.620003,108.029999,108.029999,9718700
19-05-2022,108.18,116.349998,107.449997,114.169998,114.169998,8926600
20-05-2022,115.459999,116.25,108.5,112.550003,112.550003,6961900
23-05-2022,113.544998,115.150002,110.93,113.279999,113.279999,6000800
24-05-2022,111.279999,111.419998,103.740997,106.239998,106.239998,6415800
25-05-2022,105.889999,111.940002,104.970001,110.400002,110.400002,6203300
26-05-2022,109.739998,115.550003,108.110001,114.300003,114.300003,6883200
27-05-2022,116,120.699997,115.769997,120.5,120.5,7391500
31-05-2022,120.5,122.299004,117.160004,120.870003,120.870003,9117600
01-06-2022,121.050003,121.073997,114.394997,116.720001,116.720001,6879600
02-06-2022,117.129997,123,116.269997,121.260002,121.260002,5166200
03-06-2022,118.070999,121.5,117.559998,119.830002,119.830002,4584600
06-06-2022,123.330002,124.18,119.919998,122.019997,122.019997,4160200
07-06-2022,119.760002,123.912003,119.120003,122.900002,122.900002,3331200
08-06-2022,121.43,125.510002,121.230003,123.769997,123.769997,3775600
09-06-2022,122.309998,122.980003,115.419998,115.720001,115.720001,5315900
10-06-2022,111.800003,115.129997,108.32,108.910004,108.910004,6936900
13-06-2022,102.849998,105.330002,98.360001,98.93,98.93,9587300
14-06-2022,99.540001,101.349998,97.200996,98.870003,98.870003,5915300
15-06-2022,100.019997,103.650002,98.919998,101.470001,101.470001,6260400
16-06-2022,96.190002,97.5,92.089996,93.260002,93.260002,9435700
17-06-2022,93.529999,100.610001,93.529999,99.489998,99.489998,11293100
21-06-2022,102.690002,104.889,101.620003,102.269997,102.269997,6532700
22-06-2022,99,102.5,98.720001,99.529999,99.529999,8986000
23-06-2022,100,100.800003,93.019997,95.720001,95.720001,12340800
24-06-2022,97.519997,104.18,96.330002,103.510002,103.510002,28797400
27-06-2022,103.959999,104.169998,99.330002,101.5,101.5,7352100
28-06-2022,103.339996,105.449997,97.089996,97.529999,97.529999,7744100
29-06-2022,96.830002,97,92.050003,93.93,93.93,6522600
30-06-2022,92.489998,92.910004,86.709999,89.080002,89.080002,9007800
01-07-2022,89.089996,91.459999,87.43,91.410004,91.410004,5995400
05-07-2022,88.879997,96.010002,86.75,95.940002,95.940002,7648500
06-07-2022,95.290001,96.169998,91.800003,92.879997,92.879997,5703000
07-07-2022,93.660004,97.550003,92.160004,97.5,97.5,7480500
08-07-2022,96.230003,98.120003,93.241997,97.349998,97.349998,5669500
11-07-2022,96,97.089996,93.269997,95.099998,95.099998,6041400
12-07-2022,95.300003,97.685997,93.32,96.550003,96.550003,4170200
13-07-2022,93.75,96.588997,91.610001,95.639999,95.639999,6967800
14-07-2022,94.279999,94.580002,90.169998,91.050003,91.050003,8334600
